cusip,issuer,class,status,cusip6,cusip8,cusip9
B38564 10 8 *,EURONAV NV,SHS,,B38564,B3856410,B38564108
B38564 90 8  ,EURONAV NV,CALL,,B38564,B3856490,B38564908
B38564 95 8  ,EURONAV NV,PUT,,B38564,B3856495,B38564958
C15396 AB 7,CANADIAN SOLAR INC,2.500%10/0DEBT,ADDED,C15396,C15396AB,C15396AB7
D18190 89 8 *,DEUTSCHE BANK A G,NAMEN AKT,,D18190,D1819089,D18190898
D18190 90 8,DEUTSCHE BANK A G,CALL,,D18190,D1819090,D18190908
D18190 95 8,DEUTSCHE BANK A G,PUT,,D18190,D1819095,D18190958
F21107 10 1 *,CONSTELLIUM SE,CL A SHS,,F21107,F2110710,F21107101
F21107 90 1  ,CONSTELLIUM SE,CALL,,F21107,F2110790,F21107901
F21107 95 1  ,CONSTELLIUM SE,PUT,,F21107,F2110795,F21107951
G00748 12 2,ACON S2 ACQUISITION CORP,09/15/2027UNIT,ADDED,G00748,G0074812,G00748122
G0083D 10 4,ACE CONVERGENCE ACQU CORP,09/30/202EXP*W,ADDED,G0083D,G0083D10,G0083D104
G0083D 11 2,ACE CONVERGENCE ACQU CORP,99/99/9999UNIT,ADDED,G0083D,G0083D11,G0083D112
G0083D 12 0,ACE CONVERGENCE ACQU CORP,ACL,ADDED,G0083D,G0083D12,G0083D120
G0084W 10 1 *,ADIENT PLC,ORD SHS,,G0084W,G0084W10,G0084W101
G0084W 90 1  ,ADIENT PLC,CALL,,G0084W,G0084W90,G0084W901
G0084W 95 1  ,ADIENT PLC,PUT,,G0084W,G0084W95,G0084W951
G01125 10 6 *,AFYA LTD,CL A COM,,G01125,G0112510,G01125106
G01125 90 6  ,AFYA LTD,CALL,,G01125,G0112590,G01125906
G01125 95 6  ,AFYA LTD,PUT,,G01125,G0112595,G01125956
G0120M 10 9,AGBA ACQUISITION LTD,SHS,,G0120M,G0120M10,G0120M109
G0120M 11 7,AGBA ACQUISITION LTD,*W EXP 05/10/202,,G0120M,G0120M11,G0120M117
G0120M 12 5,AGBA ACQUISITION LTD,RIGHT 05/10/2024,,G0120M,G0120M12,G0120M125
G0120M 13 3,AGBA ACQUISITION LTD,UNIT 05/10/2024,,G0120M,G0120M13,G0120M133
G0132V 10 5,AGM GROUP HOLDINGS INC,SHS CL A,,G0132V,G0132V10,G0132V105
G0176J 10 9 *,ALLEGION PLC,ORD SHS,,G0176J,G0176J10,G0176J109
G0176J 90 9  ,ALLEGION PLC,CALL,,G0176J,G0176J90,G0176J909
G0176J 95 9  ,ALLEGION PLC,PUT,,G0176J,G0176J95,G0176J959
G01767 10 5 *,ALKERMES PLC,SHS,,G01767,G0176710,G01767105
G01767 90 5  ,ALKERMES PLC,CALL,,G01767,G0176790,G01767905
G01767 95 5  ,ALKERMES PLC,PUT,,G01767,G0176795,G01767955
G0232J 10 1,ALUSSA ENERGY ACQUISITION CO,SHS CL A,,G0232J,G0232J10,G0232J101
G0232J 11 9,ALUSSA ENERGY ACQUISITION CO,*W EXP 10/31/202,,G0232J,G0232J11,G0232J119
G0232J 12 7,ALUSSA ENERGY ACQUISITION CO,UNIT 10/31/2026,,G0232J,G0232J12,G0232J127
G0250X 10 7 *,AMCOR PLC,ORD,,G0250X,G0250X10,G0250X107
G0250X 90 7  ,AMCOR PLC,CALL,,G0250X,G0250X90,G0250X907
G0250X 95 7  ,AMCOR PLC,PUT,,G0250X,G0250X95,G0250X957
G02602 10 3 *,AMDOCS LTD,SHS,,G02602,G0260210,G02602103
G02602 90 3  ,AMDOCS LTD,CALL,,G02602,G0260290,G02602903
G02602 95 3  ,AMDOCS LTD,PUT,,G02602,G0260295,G02602953
G0335L 20 1 *,AMIRA NATURE FOODS LTD,NEWSHS,DELETED,G0335L,G0335L20,G0335L201
G0335L 90 1  ,AMIRA NATURE FOODS LTD,CALL,DELETED,G0335L,G0335L90,G0335L901
G0335L 95 1  ,AMIRA NATURE FOODS LTD,PUT,DELETED,G0335L,G0335L95,G0335L951
G037AX 10 1 *,AMBARELLA INC,SHS,,G037AX,G037AX10,G037AX101
G037AX 90 1  ,AMBARELLA INC,CALL,,G037AX,G037AX90,G037AX901
G037AX 95 1  ,AMBARELLA INC,PUT,,G037AX,G037AX95,G037AX951
G0403H 10 8 *,AON PLC,SHS CL A,,G0403H,G0403H10,G0403H108
G0403H 90 8  ,AON PLC,CALL,,G0403H,G0403H90,G0403H908
G0403H 95 8  ,AON PLC,PUT,,G0403H,G0403H95,G0403H958
G04415 10 8,ANDINA ACQUISITION CORP III,SHS,,G04415,G0441510,G04415108
G04415 11 6,ANDINA ACQUISITION CORP III,UNIT 09/24/2020,,G04415,G0441511,G04415116
G04415 12 4,ANDINA ACQUISITION CORP III,*W EXP 07/31/202,,G04415,G0441512,G04415124
G04415 13 2,ANDINA ACQUISITION CORP III,RIGHT 10/01/2025,,G04415,G0441513,G04415132
G0450A 10 5 *,ARCH CAP GROUP LTD,ORD,,G0450A,G0450A10,G0450A105
G0450A 90 5  ,ARCH CAP GROUP LTD,CALL,,G0450A,G0450A90,G0450A905
G0450A 95 5  ,ARCH CAP GROUP LTD,PUT,,G0450A,G0450A95,G0450A955
G04553 10 6,ARCO PLATFORM LTD,COM CL A,,G04553,G0455310,G04553106
G04561 11 7,ARCLIGHT CLEAN TRANSITION CO,09/21/2025UNIT,ADDED,G04561,G0456111,G04561117
G0457F 10 7 *,ARCOS DORADOS HOLDINGS INC,SHS CLASS -A -,,G0457F,G0457F10,G0457F107
G0457F 90 7  ,ARCOS DORADOS HOLDINGS INC,CALL,,G0457F,G0457F90,G0457F907
G0457F 95 7  ,ARCOS DORADOS HOLDINGS INC,PUT,,G0457F,G0457F95,G0457F957
G0464B 10 7 *,ARGO GROUP INTL HLDGS LTD,COM,,G0464B,G0464B10,G0464B107
G0464B 90 7  ,ARGO GROUP INTL HLDGS LTD,CALL,,G0464B,G0464B90,G0464B907
G0464B 95 7  ,ARGO GROUP INTL HLDGS LTD,PUT,,G0464B,G0464B95,G0464B957
G05155 10 9,ASCENDANT DIGITAL ACQUISITIO,ACLCOM,ADDED,G05155,G0515510,G05155109
G05155 11 7,ASCENDANT DIGITAL ACQUISITIO,07/28/202EXP*W,ADDED,G05155,G0515511,G05155117
G05155 12 5,ASCENDANT DIGITAL ACQUISITIO,99/99/9999UNIT,ADDED,G05155,G0515512,G05155125
G0535E 10 6,ASIA PACIFIC WIRE & CABLE CO,ORD,,G0535E,G0535E10,G0535E106
G05436 12 9,ASPIRATIONAL CONSUMER LIFEST,99/99/9999UNIT,ADDED,G05436,G0543612,G05436129
G0585R 10 6 *,ASSURED GUARANTY LTD,COM,,G0585R,G0585R10,G0585R106
G0585R 90 6  ,ASSURED GUARANTY LTD,CALL,,G0585R,G0585R90,G0585R906
G0585R 95 6  ,ASSURED GUARANTY LTD,PUT,,G0585R,G0585R95,G0585R956
G0602B 10 0,ATIF HOLDINGS LIMITED,SHS,,G0602B,G0602B10,G0602B100
G06207 11 5 *,ATLAS FINANCIAL HOLDINGS INC,NEWSHS,DELETED,G06207,G0620711,G06207115
G06207 90 5  ,ATLAS FINANCIAL HOLDINGS INC,CALL,DELETED,G06207,G0620790,G06207905
G06207 95 5  ,ATLAS FINANCIAL HOLDINGS INC,PUT,DELETED,G06207,G0620795,G06207955
G06242 10 4 *,ATLASSIAN CORP PLC,CL A,,G06242,G0624210,G06242104
G06242 90 4  ,ATLASSIAN CORP PLC,CALL,,G06242,G0624290,G06242904
G06242 95 4  ,ATLASSIAN CORP PLC,PUT,,G06242,G0624295,G06242954
G0684D 10 7 *,ATHENE HOLDING LTD,CL A,,G0684D,G0684D10,G0684D107
G0684D 90 7  ,ATHENE HOLDING LTD,CALL,,G0684D,G0684D90,G0684D907
G0684D 95 7  ,ATHENE HOLDING LTD,PUT,,G0684D,G0684D95,G0684D957
G0692U 10 9 *,AXIS CAP HLDGS LTD,SHS,,G0692U,G0692U10,G0692U109
G0692U 90 9  ,AXIS CAP HLDGS LTD,CALL,,G0692U,G0692U90,G0692U909
G0692U 95 9  ,AXIS CAP HLDGS LTD,PUT,,G0692U,G0692U95,G0692U959
G07025 20 1,AURIS MEDICAL HOLDING LTD,SHS,,G07025,G0702520,G07025201
G0750C 10 8 *,AXALTA COATING SYS LTD,COM,,G0750C,G0750C10,G0750C108
G0750C 90 8  ,AXALTA COATING SYS LTD,CALL,,G0750C,G0750C90,G0750C908
G0750C 95 8  ,AXALTA COATING SYS LTD,PUT,,G0750C,G0750C95,G0750C958
G0750W 20 3 *,AXOVANT SCIENCES LTD,COM,,G0750W,G0750W20,G0750W203
G0750W 90 3  ,AXOVANT SCIENCES LTD,CALL,,G0750W,G0750W90,G0750W903
G0750W 95 3  ,AXOVANT SCIENCES LTD,PUT,,G0750W,G0750W95,G0750W953
G0751N 10 3 *,ATLANTICA SUSTAINABLE INFR P,SHS,,G0751N,G0751N10,G0751N103
G0751N 90 3  ,ATLANTICA SUSTAINABLE INFR P,CALL,,G0751N,G0751N90,G0751N903
G0751N 95 3  ,ATLANTICA SUSTAINABLE INFR P,PUT,,G0751N,G0751N95,G0751N953
G0772R 20 8,BANK OF NT BUTTERFIELD&SON L,SHS NEW,,G0772R,G0772R20,G0772R208
G0891M AA 4,BAOZUN INC,DEBT  1.625% 5/0,,G0891M,G0891MAA,G0891MAA4
G10830 10 0,BEYONDSPRING INC,SHS,,G10830,G1083010,G10830100
G10970 AA 2,BILIBILI INC,DEBT  1.250% 6/1,,G10970,G10970AA,G10970AA2
G11056 AA 9,BEST INC,DEBT  1.750%10/0,,G11056,G11056AA,G11056AA9
G1117K 10 6,BIOCERES CROP SOLUTIONS CORP,03/14/202EXP*W,DELETED,G1117K,G1117K10,G1117K106
G1117K 11 4,BIOCERES CROP SOLUTIONS CORP,SHS,,G1117K,G1117K11,G1117K114
G11196 10 5 *,BIOHAVEN PHARMACTL HLDG CO L,COM,,G11196,G1119610,G11196105
G11196 90 5  ,BIOHAVEN PHARMACTL HLDG CO L,CALL,,G11196,G1119690,G11196905
G11196 95 5  ,BIOHAVEN PHARMACTL HLDG CO L,PUT,,G11196,G1119695,G11196955
G1151C 10 1 *,ACCENTURE PLC IRELAND,SHS CLASS A,,G1151C,G1151C10,G1151C101
G1151C 90 1  ,ACCENTURE PLC IRELAND,CALL,,G1151C,G1151C90,G1151C901
G1151C 95 1  ,ACCENTURE PLC IRELAND,PUT,,G1151C,G1151C95,G1151C951
G1329V 10 6,BLUE HAT INTERACTIVE ENTMT T,SHS,,G1329V,G1329V10,G1329V106
G1466B 10 3,BORQS TECHNOLOGIES INC,SHS,,G1466B,G1466B10,G1466B103
G1466R 20 7,BORR DRILLING LTD,SHS,,G1466R,G1466R20,G1466R207
G14838 10 9 *,MIMECAST LTD,ORD SHS,,G14838,G1483810,G14838109
G14838 90 9  ,MIMECAST LTD,CALL,,G14838,G1483890,G14838909
G14838 95 9  ,MIMECAST LTD,PUT,,G14838,G1483895,G14838959
G1611B 10 7,BROOGE ENERGY LTD,SHS,,G1611B,G1611B10,G1611B107
G1611B 11 5,BROOGE ENERGY LTD,*W EXP 12/20/202,,G1611B,G1611B11,G1611B115
G16234 10 9 *,BROOKFIELD BUSINESS PARTNERS,UNIT LTD LP,,G16234,G1623410,G16234109
G16234 90 9  ,BROOKFIELD BUSINESS PARTNERS,CALL,,G16234,G1623490,G16234909
G16234 95 9  ,BROOKFIELD BUSINESS PARTNERS,PUT,,G16234,G1623495,G16234959
G16249 10 7 *,BROOKFIELD PROPERTY PARTRS L,UNIT LTD PARTN,,G16249,G1624910,G16249107
G16249 90 7  ,BROOKFIELD PROPERTY PARTRS L,CALL,,G16249,G1624990,G16249907
G16249 95 7  ,BROOKFIELD PROPERTY PARTRS L,PUT,,G16249,G1624995,G16249957
G16252 10 1 *,BROOKFIELD INFRAST PARTNERS,LP INT UNIT,,G16252,G1625210,G16252101
G16252 90 1  ,BROOKFIELD INFRAST PARTNERS,CALL,,G16252,G1625290,G16252901
G16252 95 1  ,BROOKFIELD INFRAST PARTNERS,PUT,,G16252,G1625295,G16252951
G16258 10 8 *,BROOKFIELD RENEWABLE PARTNER,PARTNERSHIP UNIT,,G16258,G1625810,G16258108
G16258 90 8  ,BROOKFIELD RENEWABLE PARTNER,CALL,,G16258,G1625890,G16258908
G16258 95 8  ,BROOKFIELD RENEWABLE PARTNER,PUT,,G16258,G1625895,G16258958
G1643W 10 3,BRILLIANT ACQUISITION CORP,UNIT 12/31/2020,,G1643W,G1643W10,G1643W103
G1643W 11 1,BRILLIANT ACQUISITION CORP,SHS,ADDED,G1643W,G1643W11,G1643W111
G1643W 12 9,BRILLIANT ACQUISITION CORP,03/31/202EXP*W,ADDED,G1643W,G1643W12,G1643W129
G1643W 13 7,BRILLIANT ACQUISITION CORP,99/99/9999RIGHT,ADDED,G1643W,G1643W13,G1643W137
G16962 10 5 *,BUNGE LIMITED,COM,,G16962,G1696210,G16962105
G16962 90 5  ,BUNGE LIMITED,CALL,,G16962,G1696290,G16962905
G16962 95 5  ,BUNGE LIMITED,PUT,,G16962,G1696295,G16962955
G1702T 13 2,BURGUNDY TECHNOLOGY ACQU COR,08/26/2025UNIT,ADDED,G1702T,G1702T13,G1702T132
G1739V 11 8,BROADSTONE ACQUISITION CORP,99/99/9999UNIT,ADDED,G1739V,G1739V11,G1739V118
G1757E 11 3,CALEDONIA MNG CORP PLC,SHS NEW,,G1757E,G1757E11,G1757E113
G17766 10 9,CAMBIUM NETWORKS CORP,SHS,,G17766,G1776610,G17766109
G1890L 10 7 *,CAPRI HOLDINGS LIMITED,SHS,,G1890L,G1890L10,G1890L107
G1890L 90 7  ,CAPRI HOLDINGS LIMITED,CALL,,G1890L,G1890L90,G1890L907
G1890L 95 7  ,CAPRI HOLDINGS LIMITED,PUT,,G1890L,G1890L95,G1890L957
G1991C 10 5 *,CARDTRONICS PLC,SHS CL A,,G1991C,G1991C10,G1991C105
G1991C 90 5  ,CARDTRONICS PLC,CALL,,G1991C,G1991C90,G1991C905
G1991C 95 5  ,CARDTRONICS PLC,PUT,,G1991C,G1991C95,G1991C955
G1992Y 10 6,CC NEUBERGER PRINCIPAL HLDNG,UNIT 99/99/9999,,G1992Y,G1992Y10,G1992Y106
G1992Y 11 4,CC NEUBERGER PRINCIPAL HLDNG,COM,,G1992Y,G1992Y11,G1992Y114
G1992Y 12 2,CC NEUBERGER PRINCIPAL HLDNG,*W EXP 99/99/999,,G1992Y,G1992Y12,G1992Y122
G20045 20 2 *,CENTRAL EUROPEAN MEDIA ENTRP,CL A NEW,,G20045,G2004520,G20045202
G20045 90 2  ,CENTRAL EUROPEAN MEDIA ENTRP,CALL,,G20045,G2004590,G20045902
G20045 95 2  ,CENTRAL EUROPEAN MEDIA ENTRP,PUT,,G20045,G2004595,G20045952
G21082 10 5 *,CHINA YUCHAI INTL LTD,COM,,G21082,G2108210,G21082105
G21082 90 5  ,CHINA YUCHAI INTL LTD,CALL,,G21082,G2108290,G21082905
G21082 95 5  ,CHINA YUCHAI INTL LTD,PUT,,G21082,G2108295,G21082955
