ticker,company_name,NASDAQ_sector,cusip,13F_name,cusip8,cik
JNJ,Johnson & Johnson Common Stock,Healthcare,478160104,JOHNSON & JOHNSON,47816010,200406.0
UNH,UnitedHealth Group Incorporated Common Stock (DE),Healthcare,91324P102,UNITEDHEALTH GROUP INC,91324P10,731766.0
RHHBY,Roche Holding AG ADR,Healthcare,,,nan,
RHHVF,Roche Holding AG,Healthcare,,,nan,
PFE,Pfizer Inc. Common Stock,Healthcare,717081103,PFIZER INC,71708110,78003.0
MRK,Merck & Company Inc. Common Stock (new),Healthcare,58933Y105,MERCK & CO. INC,58933Y10,310158.0
NVS,Novartis AG Common Stock,Healthcare,66987V109,NOVARTIS AG,66987V10,
ABT,Abbott Laboratories Common Stock,Healthcare,002824100,ABBOTT LABS,00282410,1800.0
TMO,Thermo Fisher Scientific Inc Common Stock,Healthcare,883556102,THERMO FISHER SCIENTIFIC INC,88355610,97745.0
NVO,Novo Nordisk A/S Common Stock,Healthcare,,,nan,
DHR,Danaher Corporation Common Stock,Healthcare,235851102,DANAHER CORPORATION,23585110,313616.0
ABBV,AbbVie Inc. Common Stock,Healthcare,00287Y109,ABBVIE INC,00287Y10,1551152.0
DSKYF,Daiichi Sankyo Co. Ltd.,Healthcare,,,nan,
MDT,Medtronic plc. Ordinary Shares,Healthcare,G5960L103,MEDTRONIC PLC,G5960L10,1613103.0
LLY,Eli Lilly and Company Common Stock,Healthcare,,,nan,
BMY,Bristol-Myers Squibb Company Common Stock,Healthcare,110122108,BRISTOL-MYERS SQUIBB CO,11012210,14272.0
AZN,AstraZeneca PLC American Depositary Shares,Healthcare,046353108,ASTRAZENECA PLC,04635310,901832.0
AMGN,Amgen Inc. Common Stock,Healthcare,031162100,AMGEN INC,03116210,318154.0
SNYNF,Sanofi,Healthcare,80105N105,SANOFI,80105N10,1121404.0
SNY,Sanofi ADR,Healthcare,80105N105,SANOFI,80105N10,1121404.0
CSLLY,CSL Ltd. ADR,Healthcare,,,nan,
CMXHF,CSL Ltd.,Healthcare,,,nan,
GSK,GlaxoSmithKline PLC Common Stock,Healthcare,37733W105,GLAXOSMITHKLINE PLC,37733W10,
ISRG,Intuitive Surgical Inc. Common Stock,Healthcare,46120E602,INTUITIVE SURGICAL INC,46120E60,1035267.0
SYK,Stryker Corporation Common Stock,Healthcare,863667101,STRYKER CORPORATION,86366710,310764.0
ZTS,Zoetis Inc. Class A Common Stock,Healthcare,98978V103,ZOETIS INC,98978V10,1555280.0
GILD,Gilead Sciences Inc. Common Stock,Healthcare,375558103,GILEAD SCIENCES INC,37555810,882095.0
CHGCF,Chugai Pharmaceutical Co Ltd,Healthcare,,,nan,
ANTM,Anthem Inc. Common Stock,Healthcare,036752103,ANTHEM INC,03675210,1156039.0
BDX,Becton Dickinson and Company Common Stock,Healthcare,075887109,BECTON DICKINSON & CO,07588710,10795.0
CI,Cigna Corporation Common Stock,Healthcare,125523100,CIGNA CORP NEW,12552310,1739940.0
REGN,Regeneron Pharmaceuticals Inc. Common Stock,Healthcare,75886F107,REGENERON PHARMACEUTICALS,75886F10,872589.0
ESLOY,EssilorLuxottica ADR,Healthcare,,,nan,
HUM,Humana Inc. Common Stock,Healthcare,444859102,HUMANA INC,44485910,49071.0
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,Healthcare,92532F100,VERTEX PHARMACEUTICALS INC,92532F10,875320.0
BSX,Boston Scientific Corporation Common Stock,Healthcare,101137107,BOSTON SCIENTIFIC CORP,10113710,885725.0
TKPHF,Takeda Pharmaceutical Co,Healthcare,874060205,TAKEDA PHARMACEUTICAL CO LTD,87406020,1395064.0
EW,Edwards Lifesciences Corporation Common Stock,Healthcare,28176E108,EDWARDS LIFESCIENCES CORP,28176E10,1099800.0
