,ticker,company_name,NASDAQ_sector
0,BRK/B,Berkshire Hathaway Inc.,Financial
1,BRK/A,Berkshire Hathaway Inc.,Financial
2,V,Visa Inc.,Financial
3,MA,Mastercard Incorporated Common Stock,Financial
4,JPM,JP Morgan Chase &amp; Co. Common Stock,Financial
5,IDCBF,Industrial &amp; Coml Bk H Sh,Financial
6,IDCBY,Industrial and Commercial Bank of China Ltd ADR,Financial
7,CICHF,China Construction Bank Corp,Financial
8,BAC,Bank of America Corporation Common Stock,Financial
9,PIAIF,Ping An Insurance (Group) Co of China Ltd.,Financial
10,ACGBF,Agricultural Bank of China,Financial
11,CIHHF,China Merchants Bank Co Ltd,Financial
12,BACHY,Bank of China Ltd ADR,Financial
13,BACHF,Bank of China Ltd,Financial
14,AAGIY,AIA Group Ltd. ADR (Sponsored),Financial
15,AAIGF,AIA Group Ltd.,Financial
16,AMT,American Tower Corporation (REIT) Common Stock,Financial
17,HSBC,"HSBC Holdings, plc. Common Stock",Financial
18,WFC,Wells Fargo &amp; Company Common Stock,Financial
19,C,"Citigroup, Inc. Common Stock",Financial
0,RY,Royal Bank Of Canada Common Stock,Financial
1,BLK,"BlackRock, Inc. Common Stock",Financial
2,TD,Toronto Dominion Bank (The) Common Stock,Financial
3,CMWAY,Commonwealth Bank of Australia ADR (Sponsored),Financial
4,HDB,HDFC Bank Limited Common Stock,Financial
5,AXP,American Express Company Common Stock,Financial
6,AKSJF,Sberbank of Russia. - Ordinary Shares,Financial
7,CME,CME Group Inc. Class A Common Stock,Financial
8,CCI,Crown Castle International Corp. (REIT) Common Stock,Financial
9,PLD,"Prologis, Inc. Common Stock",Financial
10,BX,The Blackstone Group Inc. Class A Common Stock,Financial
11,GS,"Goldman Sachs Group, Inc. (The) Common Stock",Financial
12,MS,Morgan Stanley Common Stock,Financial
13,EQIX,"Equinix, Inc. Common Stock REIT",Financial
14,CILJF,China Life Insurance Co Ltd,Financial
15,SBRCY,Sberbank of Russia. - ADR,Financial
16,LFC,China Life Insurance Company Limited American Depositary Shares,Financial
17,MMC,"Marsh &amp; McLennan Companies, Inc. Common Stock",Financial
18,MBFJF,Mitsubishi UFJ Financial Group Inc,Financial
19,ICE,Intercontinental Exchange Inc. Common Stock,Financial
0,VZHGF,VZ Holding Ag Zuerich,Financial
