,cik,cusip6,cusip8
0,1114448.0,66987V,66987V10
1,1131399.0,37733W,37733W10
2,1802768.0,G7709Q,G7709Q10
3,1434265.0,372303,37230320
4,845982.0,83175M,83175M20
5,885590.0,071734,07173410
6,1404123.0,68269G,68269G10
7,1801198.0,52490G,52490G10
8,1340243.0,617760,61776020
9,1531048.0,45332Y,45332Y10
10,1792267.0,12233L,12233L10
11,1014739.0,68404L,68404L20
12,1649094.0,92243G,92243G10
13,1538927.0,34633R,34633R10
14,1771910.0,H0036K,H0036K14
15,1745999.0,07373V,07373V10
17,1725160.0,98943L,98943L10
18,1674988.0,98920Y,98920Y30
19,1801777.0,03824M,03824M10
20,1664710.0,492327,49232710
21,1599901.0,05370A,05370A10
22,1733294.0,37148K,37148K10
23,1808158.0,760273,76027310
24,1782594.0,37186H,37186H10
25,1356090.0,74017N,74017N10
26,1746473.0,729139,72913910
27,1787297.0,702712,70271210
28,1722271.0,00973J,00973J10
29,1796280.0,68622P,68622P10
30,1795579.0,13124Q,13124Q10
31,1762303.0,05380C,05380C10
32,1805890.0,36118A,36118A10
33,1213037.0,14147L,14147L10
34,1723069.0,88875G,88875G10
35,1419041.0,34962G,34962G10
36,926617.0,04537Y,04537Y10
37,1739426.0,G6S41R,G6S41R10
38,1598599.0,45781K,45781K20
39,1580063.0,74319F,74319F10
40,1175151.0,23283X,23283X20
42,1672619.0,45249V,45249V10
43,1374690.0,517125,51712510
44,1158780.0,72940R,72940R30
45,1611842.0,M8001Q,M8001Q11
46,876343.0,53566P,53566P10
47,1018735.0,P73398,P7339810
48,1680048.0,62818Q,62818Q10
49,1757064.0,372279,37227910
50,863894.0,92536C,92536C10
51,1797336.0,05465V,05465V10
53,1327273.0,55234L,55234L10
54,1527728.0,29350E,29350E10
55,1530766.0,09073N,09073N20
56,1325879.0,053588,05358830
57,1360214.0,415858,41585810
58,1359931.0,74365U,74365U10
59,946486.0,97382D,97382D30
60,1126234.0,55028X,55028X10
61,1285550.0,18507C,18507C10
62,1763950.0,51654W,51654W10
63,1551986.0,654405,65440510
64,1460702.0,74754R,74754R10
65,1129928.0,682310,68231087
66,1602078.0,640442,64044220
67,1600132.0,078771,07877130
68,1808665.0,04546C,04546C10
69,1614067.0,040334,04033410
70,1075880.0,48669G,48669G10
71,1394319.0,89237H,89237H20
72,1196298.0,640671,64067140
74,1472091.0,70465T,70465T10
75,1166272.0,37185R,37185R30
76,1494891.0,81728J,81728J10
78,1549084.0,282644,28264430
79,1786511.0,03635R,03635R10
80,1043961.0,74019L,74019L50
81,1131343.0,02155X,02155X10
82,1729427.0,18978H,18978H10
