nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,putcall,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ACELRX PHARMS INC,COM,00444T950,26,220,SH,Put,DFND,1,0,220,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
ADAMIS PHARMACEUTICALS,COM,00547W208,32,88210,SH,,DFND,1,0,88210,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,ADMP
AKERS BIOSCIENCES INC,COM,00973E409,118,55400,SH,,DFND,1,0,55400,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
ALTIMMUNE INC,COM,02155H950,171,534,SH,Put,DFND,1,0,534,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
AMARIN CORP PLC,ADR,023111206,600,150000,SH,,DFND,1,0,150000,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,AMRN
AMARIN CORP PLC,ADR,023111906,75,188,SH,Call,DFND,1,0,188,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
APPLIED DNA SCIENCES INC,COM,03815U300,106,26397,SH,,DFND,1,0,26397,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
ASTROTECH CORP NEW,COM,046484200,259,99667,SH,,DFND,1,0,99667,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,
ACTINIUM PHARMACEUTICALS,COM,00507W107,121,621840,SH,,DFND,1,0,621840,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,ATNM
AURINIA PHARMACEUTICALS,COM,05156V102,617,42500,SH,,DFND,1,0,42500,0,0001535610,03-31-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",05-15-2020,AUPH
