nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,othermanager,ticker
Aclaris Therapeutics,COMM,00461U105,1988,1911573,SH,SOLE,1911573,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,ACRS
Amarin,ADR,023111206,20833,5208305,SH,SOLE,5208305,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,AMRN
"Apellis Pharmaceuticals, Inc",COMM,03753U106,1328,49580,SH,SOLE,49580,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,APLS
Ascendis Pharma A/S,ADR,04351P101,124983,1109874,SH,SOLE,1109874,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,ASND
Chiasma,COMM,16706W102,5950,1630221,SH,SOLE,1630221,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,CAIHF
Coherus BioSciences,COMM,19249H103,31357,1933221,SH,SOLE,1933221,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,CHRS
Entasis Therapeutics Holdings Inc.,COMM,293614103,3119,1180178,SH,SOLE,1180178,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,ETTX
"Galera Therapeutics, Inc",COMM,36338D108,29295,3083712,SH,SOLE,3083712,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,GRTX
Iterum Therapeutics,COMM,G6333L101,4679,1726514,SH,SOLE,1726514,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,
"Karuna Therapeutics, Inc.",COMM,48576A100,135763,1885602,SH,SOLE,1885602,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,KRTX
"Kiniksa Pharmaceuticals, Ltd",COMM CL A,G5269C101,14283,922700,SH,SOLE,922700,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,KNSA
Merus N.V.,COMM,N5749R100,23729,1961039,SH,SOLE,1961039,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,MRUS
Natera,COMM,632307104,92583,3100560,SH,SOLE,3100560,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,NTRA
"Nextcure, Inc",COMM,65343E108,99046,2671856,SH,SOLE,2671856,0,0,0001631134,03-31-2020,13F-HR,false,"Sofinnova Investments, Inc.",05-11-2020,,,NXTC
