nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ARENA PHARMACEUTICALS INC,COM,040047607,10494,249866,SH,SOLE,249866,0,0,0001657134,03-31-2020,13F-HR,false,"Asymmetry Capital Management, L.P.",05-12-2020,ARNA
AMICUS THERAPEUTICS INC,COM,03152W109,2940,318152,SH,SOLE,318152,0,0,0001657134,03-31-2020,13F-HR,false,"Asymmetry Capital Management, L.P.",05-12-2020,FOLD
ASCENDIS PHARMA A/S - ADR,ADR,04351P101,3171,28157,SH,SOLE,28157,0,0,0001657134,03-31-2020,13F-HR,false,"Asymmetry Capital Management, L.P.",05-12-2020,ASND
AVROBIO INC,COM,05455M100,1331,85554,SH,SOLE,85554,0,0,0001657134,03-31-2020,13F-HR,false,"Asymmetry Capital Management, L.P.",05-12-2020,AVRO
BAXTER INTERNATIONAL INC,COM,071813109,6149,75737,SH,SOLE,75737,0,0,0001657134,03-31-2020,13F-HR,false,"Asymmetry Capital Management, L.P.",05-12-2020,BAX
BIOMARIN PHARMACEUTICAL INC,COM,09061G101,4620,54676,SH,SOLE,54676,0,0,0001657134,03-31-2020,13F-HR,false,"Asymmetry Capital Management, L.P.",05-12-2020,BMRN
BIO-RAD LABORATORIES-A,COM,090572207,4444,12676,SH,SOLE,12676,0,0,0001657134,03-31-2020,13F-HR,false,"Asymmetry Capital Management, L.P.",05-12-2020,
BRISTOL-MYERS SQUIBB-CVR,RTS,110122157,9061,2384487,SH,SOLE,2384487,0,0,0001657134,03-31-2020,13F-HR,false,"Asymmetry Capital Management, L.P.",05-12-2020,
CYMABAY THERAPEUTICS INC,COM,23257D103,1128,762219,SH,SOLE,762219,0,0,0001657134,03-31-2020,13F-HR,false,"Asymmetry Capital Management, L.P.",05-12-2020,CBAY
CENTENE CORP,COM,15135B101,969,16318,SH,SOLE,16318,0,0,0001657134,03-31-2020,13F-HR,false,"Asymmetry Capital Management, L.P.",05-12-2020,CNC
