nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ARENA PHARMACEUTICALS INC,COM NEW,040047607,1890,45000,SH,SOLE,45000,0,0,0001694620,03-31-2020,13F-HR,false,"Copernicus Capital Management, LLC",05-14-2020,ARNA
BIOGEN INC,COM,09062X103,5695,18000,SH,SOLE,18000,0,0,0001694620,03-31-2020,13F-HR,false,"Copernicus Capital Management, LLC",05-14-2020,BIIB
BIOMARIN PHARMACEUTICAL INC,COM,09061G101,8719,103179,SH,SOLE,103179,0,0,0001694620,03-31-2020,13F-HR,false,"Copernicus Capital Management, LLC",05-14-2020,BMRN
BRISTOL-MYERS SQUIBB CO,COM,110122108,9866,176997,SH,SOLE,176997,0,0,0001694620,03-31-2020,13F-HR,false,"Copernicus Capital Management, LLC",05-14-2020,BMY
CENTENE CORP DEL,COM,15135B101,2792,47000,SH,SOLE,47000,0,0,0001694620,03-31-2020,13F-HR,false,"Copernicus Capital Management, LLC",05-14-2020,CNC
CIGNA CORP NEW,COM,125523100,9700,54748,SH,SOLE,54748,0,0,0001694620,03-31-2020,13F-HR,false,"Copernicus Capital Management, LLC",05-14-2020,CI
CVS HEALTH CORP,COM,126650100,7713,130000,SH,SOLE,130000,0,0,0001694620,03-31-2020,13F-HR,false,"Copernicus Capital Management, LLC",05-14-2020,
FATE THERAPEUTICS INC,COM,31189P102,3575,160959,SH,SOLE,160959,0,0,0001694620,03-31-2020,13F-HR,false,"Copernicus Capital Management, LLC",05-14-2020,FATE
MCKESSON CORP,COM,58155Q103,6898,51000,SH,SOLE,51000,0,0,0001694620,03-31-2020,13F-HR,false,"Copernicus Capital Management, LLC",05-14-2020,CAKFF
SHOCKWAVE MED INC,COM,82489T104,1659,50000,SH,SOLE,50000,0,0,0001694620,03-31-2020,13F-HR,false,"Copernicus Capital Management, LLC",05-14-2020,SWAV
TANDEM DIABETES CARE INC,COM NEW,875372203,2747,42685,SH,SOLE,42685,0,0,0001694620,03-31-2020,13F-HR,false,"Copernicus Capital Management, LLC",05-14-2020,TNDM
THERMO FISHER SCIENTIFIC INC,COM,883556102,5359,18896,SH,SOLE,18896,0,0,0001694620,03-31-2020,13F-HR,false,"Copernicus Capital Management, LLC",05-14-2020,TMO
VERTEX PHARMACEUTICALS INC,COM,92532F100,12481,52453,SH,SOLE,52453,0,0,0001694620,03-31-2020,13F-HR,false,"Copernicus Capital Management, LLC",05-14-2020,VRTX
ZOETIS INC,CL A,98978V103,3545,30125,SH,SOLE,30125,0,0,0001694620,03-31-2020,13F-HR,false,"Copernicus Capital Management, LLC",05-14-2020,ZTS
