nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,othermanager,putcall,ticker
10X GENOMICS INC,CL A COM,88025U109,8279,92700,SH,SOLE,0,0,92700,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,TXG
89BIO INC,COM,282559103,79809,4004442,SH,SOLE,4004442,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,ETNB
9 METERS BIOPHARMA INC,COM,654405109,14591,25716755,SH,SOLE,25716755,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,NMTR
ABBVIE INC,COM,00287Y109,45556,464000,SH,DFND,65100,0,398900,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,ABBV
ABBVIE INC,COM,00287Y109,9818,100000,SH,DFND,31500,0,68500,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,Call,ABBV
ACADIA HEALTHCARE COMPANY IN,COM,00404A109,34670,1380160,SH,DFND,164500,0,1215660,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,ACHC
ACCELERON PHARMA INC,COM,00434H108,12147,127500,SH,DFND,4000,0,123500,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,XLRN
ADVERUM BIOTECHNOLOGIES INC,COM,00773U108,68711,3290744,SH,DFND,357697,0,2933047,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,ADVM
AEGLEA BIOTHERAPEUTICS INC,COM,00773J103,37144,4015524,SH,SOLE,4015524,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,AGLE
AERPIO PHARMACEUTICALS INC,COM,00810B105,6492,5193946,SH,SOLE,5193946,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,ARPO
AGIOS PHARMACEUTICALS INC,COM,00847X104,92436,1728421,SH,DFND,207500,0,1520921,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,AGIO
AGIOS PHARMACEUTICALS INC,COM,00847X104,5348,100000,SH,DFND,32000,0,68000,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,Call,AGIO
AKOUOS INC,COM,00973J101,7088,315000,SH,SOLE,0,0,315000,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,AKUS
ALCON AG,ORD SHS,H01301128,20168,351380,SH,DFND,125800,0,225580,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,ALC
ALECTOR INC,COM,014442107,146037,5975322,SH,SOLE,5975322,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,ALEC
ALEXION PHARMACEUTICALS INC,COM,015351109,241989,2156000,SH,DFND,311300,0,1844700,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,ALXN
ALEXION PHARMACEUTICALS INC,COM,015351109,11224,100000,SH,DFND,32000,0,68000,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,Call,ALXN
ALPINE IMMUNE SCIENCES INC,COM,02083G100,35645,3670955,SH,SOLE,3670955,0,0,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,ALPN
AMGEN INC,COM,031162100,21581,91500,SH,SOLE,0,0,91500,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,,,AMGN
ANAPTYSBIO INC,COM,032724106,8395,375800,SH,DFND,35200,0,340600,0001055951,06-30-2020,13F-HR,false,ORBIMED ADVISORS LLC,08-14-2020,1,,ANAB
