nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ABBVIE INC,COM,00287Y109,2455,25000,SH,SOLE,25000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,,ABBV
AMARIN CORP PLC,SPONS ADR NEW,023111206,692,100000,SH,SOLE,100000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,Call,AMRN
AMERISOURCEBERGEN CORP,COM,03073E105,1512,15000,SH,SOLE,15000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,,ABC
ANTARES PHARMA INC,COM,036642106,1375,500000,SH,SOLE,500000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,,ATRS
CARDINAL HEALTH INC,COM,14149Y108,2610,50000,SH,SOLE,50000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,,CAH
CLOVIS ONCOLOGY INC,COM,189464100,1688,250000,SH,SOLE,250000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,,CLVS
CLOVIS ONCOLOGY INC,COM,189464100,675,100000,SH,SOLE,100000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,Call,CLVS
CVS HEALTH CORP,COM,126650100,1624,25000,SH,SOLE,25000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,,
GILEAD SCIENCES INC,COM,375558103,3847,50000,SH,SOLE,50000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,,GILD
GLAXOSMITHKLINE PLC,SPONSORED ADR,37733W105,4079,100000,SH,SOLE,100000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,,GSK
GREENLANE HLDGS INC,CL A,395330103,995,250000,SH,SOLE,250000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,,
JAZZ PHARMACEUTICALS PLC,SHS USD,G50871105,2096,19000,SH,SOLE,19000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,,JAZZ
MCKESSON CORP,COM,58155Q103,1534,10000,SH,SOLE,10000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,,CAKFF
MENLO THERAPEUTICS INC,COM,586858102,2941,1700000,SH,SOLE,1700000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,,
PROSHARES TR,ULTRAPRO SHORT S,74347B268,2360,200000,SH,SOLE,200000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,Call,
PROSHARES TR,ULTRAPRO SHORT S,74347B268,2950,250000,SH,SOLE,250000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,,
TYME TECHNOLOGIES INC,COM,90238J103,2893,2175000,SH,SOLE,2175000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,,TYME
VIKING THERAPEUTICS INC,COM,92686J106,721,100000,SH,SOLE,100000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,Call,VKTX
WALGREENS BOOTS ALLIANCE INC,COM,931427108,2120,50000,SH,SOLE,50000,0,0,0001458461,06-30-2020,13F-HR,false,"Healthcare Value Capital, LLC",08-14-2020,,
