nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ABBVIE INC,COM,00287Y109,72123,734598,SH,DFND,"1,2",734598,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,ABBV
ADMA BIOLOGICS INC,COM,000899104,5816,1984949,SH,DFND,"1,2",1984949,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,ADMA
AKEBIA THERAPEUTICS INC,COM,00972D105,2105,155000,SH,DFND,"1,2",155000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,AKBA
AKOUOS INC,COM,00973J101,2250,100000,SH,DFND,"1,2",100000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,AKUS
ALLOT LTD,SHS,M0854Q105,10087,963456,SH,DFND,,963456,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
AMAZON COM INC,COM,023135106,11918,4320,SH,DFND,,4320,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
AMGEN INC,COM,031162100,18869,80000,SH,DFND,"1,2",80000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,AMGN
AMICUS THERAPEUTICS INC,COM,03152W109,24559,1628550,SH,DFND,"1,2",1628550,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,FOLD
APREA THERAPEUTICS INC,COM,03836J102,6138,158289,SH,DFND,"1,2",158289,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,APRE
ARGENX SE,SPONSORED ADR,04016X101,2312,10265,SH,DFND,"1,2",10265,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,ARGX
ARYA SCIENCES ACQUISITION CO,UNIT 10/04/2023,G3165V117,4000,200000,SH,DFND,"1,2",200000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
ARYA SCIENCES ACQUISTION CO,UNIT 06/09/2027,G31655114,3480,300000,SH,DFND,"1,2",300000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
ASCENDIS PHARMA A S,SPONSORED ADR,04351P101,5084,34373,SH,DFND,"1,2",34373,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,ASND
ASTRAZENECA PLC,SPONSORED ADR,046353108,47072,890000,SH,DFND,"1,2",890000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,AZN
AXOVANT GENE THERAPIES,COM,G0750W203,8060,2857998,SH,DFND,"1,2",2857998,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,AXGT
BELLUS HEALTH INC NEW,COM NEW,07987C204,1006,97805,SH,DFND,"1,2",97805,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,BLU
BRISTOL-MYERS SQUIBB CO,COM,110122108,41160,700000,SH,DFND,"1,2",700000,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,BMY
CAMTEK LTD,ORD,M20791105,468,37184,SH,DFND,,37184,0,0,0001496201,06-30-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,08-06-2020,,
