nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,putcall,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
1LIFE HEALTHCARE INC,PUT,68269G957,291,8000,SH,Put,SOLE,8000,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,
AC IMMUNE SA,SHS,H00263105,7920,1176801,SH,,SOLE,1176801,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,ACIU
ADMA BIOLOGICS INC,COM,000899104,3807,1299300,SH,,SOLE,1299300,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,ADMA
ALBIREO PHARMA INC,COM,01345P106,5266,198800,SH,,SOLE,198800,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,ALBO
ALDEYRA THERAPEUTICS INC,COM,01438T106,6756,1620200,SH,,SOLE,1620200,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,ALDX
ALEXION PHARMACEUTICALS INC,COM,015351109,10102,90000,SH,,SOLE,90000,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,ALXN
AMN HEALTHCARE SVCS INC,COM,001744101,1215,26851,SH,,SOLE,26851,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,
APOLLO ENDOSURGERY INC,COM,03767D108,621,379945,SH,,SOLE,379945,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,APEN
APTOSE BIOSCIENCES INC,COM NEW,03835T200,4941,783073,SH,,SOLE,783073,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,APTO
ARENA PHARMACEUTICALS INC,COM NEW,040047607,14303,227212,SH,,SOLE,227212,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,ARNA
ARROWHEAD PHARMACEUTICALS IN,COM,04280A100,4928,114100,SH,,SOLE,114100,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,ARWR
AURINIA PHARMACEUTICALS INC,COM,05156V102,1495,92000,SH,,SOLE,92000,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,AUPH
BAXTER INTL INC,COM,071813109,3659,42500,SH,,SOLE,42500,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,BAX
BIOTELEMETRY INC,COM,090672106,1118,24733,SH,,SOLE,24733,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,BEAT
BRISTOL-MYERS SQUIBB CO,COM,110122108,6938,118000,SH,,SOLE,118000,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,BMY
BRISTOL-MYERS SQUIBB CO,CALL,110122908,2940,50000,SH,Call,SOLE,50000,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,
CARA THERAPEUTICS INC,COM,140755109,1487,86965,SH,,SOLE,86965,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,CARA
CATALYST BIOSCIENCES INC,COM NEW,14888D208,1456,248050,SH,,SOLE,248050,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,CBIO
CELLECTIS S A,SPON ADS,15117K103,4923,276577,SH,,SOLE,276577,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,CMVLF
CENTENE CORP DEL,COM,15135B101,10149,159700,SH,,SOLE,159700,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,CNC
CHANGE HEALTHCARE INC,COM,15912K100,9297,830100,SH,,SOLE,830100,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,
CIGNA CORP NEW,COM,125523100,7225,38500,SH,,SOLE,38500,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,CI
CUE BIOPHARMA INC,COM,22978P106,7605,310294,SH,,SOLE,310294,0,0,0001617201,06-30-2020,13F-HR,false,"Prosight Management, LP",08-14-2020,CUE
