nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
1LIFE HEALTHCARE INC,COM,68269G107,16228,446807,SH,DFND,2,446807,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ONEM
10X GENOMICS INC,CL A COM,88025U109,10992,123077,SH,DFND,2,123077,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,TXG
111 INC,ADS,68247Q102,1083,170525,SH,DFND,2,170525,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
ABBOTT LABS,COM,002824100,117421,1284272,SH,DFND,2,1284272,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ABT
ABBVIE INC,COM,00287Y109,3633,37000,SH,DFND,2,37000,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ABBV
ABIOMED INC,COM,003654100,23359,96699,SH,DFND,2,96699,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ABMD
ACADIA PHARMACEUTICALS INC,COM,004225108,2176,44900,SH,DFND,2,44900,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ACAD
ADOBE INC,COM,00724F101,479,1100,SH,DFND,2,1100,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
AGILENT TECHNOLOGIES INC,COM,00846U101,548,6200,SH,DFND,2,6200,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,A
AGIOS PHARMACEUTICALS INC,COM,00847X104,2252,42100,SH,DFND,2,42100,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,AGIO
AGIOS PHARMACEUTICALS INC,COM,00847X104,212929,3981473,SH,DFND,"1,2",3981473,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,AGIO
AKCEA THERAPEUTICS INC,COM,00972L107,11813,862296,SH,DFND,2,862296,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
AKCEA THERAPEUTICS INC,COM,00972L107,8220,600000,SH,DFND,"1,2",600000,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
ALEXION PHARMACEUTICALS INC,COM,015351109,13289,118400,SH,DFND,2,118400,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ALXN
ALEXION PHARMACEUTICALS INC,COM,015351109,145287,1294428,SH,DFND,"1,2",1294428,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ALXN
ALIGN TECHNOLOGY INC,COM,016255101,27134,98869,SH,DFND,2,98869,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ALGN
ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,50367,340065,SH,DFND,2,340065,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ALNY
ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,188100,1270000,SH,DFND,"1,2",1270000,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ALNY
AMEDISYS INC,COM,023436108,12139,61143,SH,DFND,2,61143,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,AMED
AMERICAN EXPRESS CO,COM,025816109,343,3600,SH,DFND,2,3600,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
AMGEN INC,COM,031162100,39616,167963,SH,DFND,2,167963,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,AMGN
ANALOG DEVICES INC,COM,032654105,503,4100,SH,DFND,2,4100,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
ANSYS INC,COM,03662Q105,526,1802,SH,DFND,2,1802,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
ANTHEM INC,COM,036752103,81530,310025,SH,DFND,2,310025,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ANTM
ARGENX SE,SPONSORED ADR,04016X101,5409,24016,SH,DFND,2,24016,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ARGX
ARGENX SE,SPONSORED ADR,04016X101,209464,930000,SH,DFND,"1,2",930000,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ARGX
ARVINAS INC,COM,04335A105,1503,44800,SH,DFND,2,44800,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ARVN
ARVINAS INC,COM,04335A105,51548,1536903,SH,DFND,"1,2",1536903,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ARVN
ASCENDIS PHARMA A S,SPONSORED ADR,04351P101,1967,13300,SH,DFND,2,13300,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ASND
ASPEN TECHNOLOGY INC,COM,045327103,311,3000,SH,DFND,2,3000,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
AUTOLIV INC,COM,052800109,439,6800,SH,DFND,2,6800,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
AVANTOR INC,COM,05352A100,6203,364877,SH,DFND,2,364877,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
AXONICS MODULATION TECHNOLOG,COM,05465P101,18132,516428,SH,DFND,2,516428,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,AXNX
BAXTER INTL INC,COM,071813109,53855,625495,SH,DFND,2,625495,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,BAX
BECTON DICKINSON  CO,COM,075887109,58846,245940,SH,DFND,2,245940,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,BDX
BEIGENE LTD,SPONSORED ADR,07725L102,10927,58000,SH,DFND,2,58000,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,BGNE
BIOMARIN PHARMACEUTICAL INC,COM,09061G101,9485,76900,SH,DFND,2,76900,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,BMRN
BIONTECH SE,SPONSORED ADS,09075V102,3337,50000,SH,DFND,2,50000,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,BNTX
BIO RAD LABS INC,CL A,090572207,36061,79871,SH,DFND,2,79871,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
BLACKBAUD INC,COM,09227Q100,234,4107,SH,DFND,2,4107,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
BLACK DIAMOND THERAPEUTICS I,COM,09203E105,548,13000,SH,DFND,2,13000,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,BDTX
BLACK DIAMOND THERAPEUTICS I,COM,09203E105,58602,1390000,SH,DFND,"1,2",1390000,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,BDTX
BOOKING HLDGS INC,COM,09857L108,318,200,SH,DFND,2,200,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
BOSTON SCIENTIFIC CORP,COM,101137107,60762,1730620,SH,DFND,2,1730620,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,BSX
BRISTOL MYERS SQUIBB CO,COM,110122108,94792,1612112,SH,DFND,2,1612112,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,BMY
BRISTOL MYERS SQUIBB CO,RIGHT 99/99/9999,110122157,2864,800000,SH,DFND,"1,2",800000,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
BROADRIDGE FINL SOLUTIONS IN,COM,11133T103,429,3400,SH,DFND,2,3400,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
BROWN FORMAN CORP,CL B,115637209,484,7600,SH,DFND,2,7600,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
BURNING ROCK BIOTECH LTD,SPONSORED ADR,12233L107,1215,45000,SH,DFND,2,45000,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,BNR
CAREDX INC,COM,14167L103,41341,1166839,SH,DFND,2,1166839,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,CDNA
CATALENT INC,COM,148806102,418,5700,SH,DFND,2,5700,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,CTLT
CELLECTIS S A,SPON ADS,15117K103,1486,83500,SH,DFND,2,83500,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,CMVLF
CENTENE CORP DEL,COM,15135B101,66267,1042747,SH,DFND,2,1042747,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,CNC
CHANGE HEALTHCARE INC,COM,15912K100,16299,1455240,SH,DFND,2,1455240,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
CHARLES RIV LABS INTL INC,COM,159864107,63783,365833,SH,DFND,2,365833,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
CIDARA THERAPEUTICS INC,COM,171757107,10415,2822495,SH,DFND,"1,2",2822495,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,CDTX
CIGNA CORP NEW,COM,125523100,63187,336726,SH,DFND,2,336726,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,CI
CLOROX CO DEL,COM,189054109,439,2000,SH,DFND,2,2000,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
COHERUS BIOSCIENCES INC,COM,19249H103,20671,1157400,SH,DFND,2,1157400,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,CHRS
CONSTELLATION BRANDS INC,CL A,21036P108,360,2059,SH,DFND,2,2059,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
COOPER COS INC,COM NEW,216648402,7189,25345,SH,DFND,2,25345,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
COSTAR GROUP INC,COM,22160N109,497,700,SH,DFND,2,700,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
COVETRUS INC,COM,22304C100,27,1520,SH,DFND,2,1520,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
CRISPR THERAPEUTICS AG,NAMEN AKT,H17182108,58826,800462,SH,DFND,"1,2",800462,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,CRSP
CVS HEALTH CORP,COM,126650100,15052,231681,SH,DFND,2,231681,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
DANAHER CORPORATION,COM,235851102,79862,451633,SH,DFND,2,451633,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,DHR
DAVITA INC,COM,23918K108,23758,300200,SH,DFND,2,300200,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,DVA
DENTSPLY SIRONA INC,COM,24906P109,7011,159129,SH,DFND,2,159129,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,XRAY
DEXCOM INC,COM,252131107,41637,102705,SH,DFND,2,102705,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,DXCM
DOMINOS PIZZA INC,COM,25754A201,369,1000,SH,DFND,2,1000,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
DR REDDYS LABS LTD,ADR,256135203,1961,37000,SH,DFND,2,37000,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,RDY
EDWARDS LIFESCIENCES CORP,COM,28176E108,54713,791682,SH,DFND,2,791682,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,EW
ELECTRONIC ARTS INC,COM,285512109,617,4670,SH,DFND,2,4670,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
ENTEGRIS INC,COM,29362U104,431,7300,SH,DFND,2,7300,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
ESPERION THERAPEUTICS INC NEW,COM,29664W105,79796,1555171,SH,DFND,2,1555171,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ESPR
ESPERION THERAPEUTICS INC NEW,COM,29664W105,192308,3747964,SH,DFND,"1,2",3747964,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,ESPR
EVOLENT HEALTH INC,CL A,30050B101,35802,5028363,SH,DFND,2,5028363,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,
EXELIXIS INC,COM,30161Q104,5045,212500,SH,DFND,2,212500,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,EXEL
EXELIXIS INC,COM,30161Q104,67303,2835000,SH,DFND,"1,2",2835000,0,0,0001674546,06-30-2020,13F-HR,false,Bellevue Group AG,08-12-2020,EXEL
